model,target,fold,held_out_pid,n_train_rows,n_test_rows,mae,r2
lgbm,oks,5,5,952,56,13.9005,-52.401
baseline_demo_ridge,sis,6,6,952,56,4.0722,-9.8269
baseline_demo_ridge,ohs,6,6,952,56,13.7574,-7.7251
baseline_demo_ridge,oks,6,6,952,56,16.628,-12.2884
baseline_naive_mean,sis,6,6,952,56,1.3456,-0.5249
baseline_naive_mean,ohs,6,6,952,56,6.1765,-1.5571
baseline_naive_mean,oks,6,6,952,56,3.5882,-0.0301
ridge_sensor_demo,sis,6,6,952,56,2.1556,-2.9039
ridge_sensor_demo,ohs,6,6,952,56,5.1329,-0.8667
ridge_sensor_demo,oks,6,6,952,56,11.9716,-6.5133
tuned_ridge,sis,6,6,952,56,2.3784,-3.7789
tuned_ridge,ohs,6,6,952,56,4.4971,-0.418
tuned_ridge,oks,6,6,952,56,4.8844,-0.6653
tuned_elasticnet,sis,6,6,952,56,1.3917,-0.6399
tuned_elasticnet,ohs,6,6,952,56,6.735,-1.851
tuned_elasticnet,oks,6,6,952,56,3.5177,-0.1192
rf,sis,6,6,952,56,1.3307,-0.7994
rf,ohs,6,6,952,56,4.7171,-0.4996
rf,oks,6,6,952,56,3.2555,0.2911
lgbm,sis,6,6,952,56,1.5711,-1.0644
lgbm,ohs,6,6,952,56,5.0869,-0.7007
lgbm,oks,6,6,952,56,5.1383,-1.0752
baseline_demo_ridge,sis,7,7,952,56,5.6943,-4.218
baseline_demo_ridge,ohs,7,7,952,56,4.6789,-3.8491
baseline_demo_ridge,oks,7,7,952,56,6.0737,-49.1858
baseline_naive_mean,sis,7,7,952,56,2.7647,-0.9943
baseline_naive_mean,ohs,7,7,952,56,5.3824,-5.0936
baseline_naive_mean,oks,7,7,952,56,1.3529,-2.4406
ridge_sensor_demo,sis,7,7,952,56,3.4333,-1.0158
ridge_sensor_demo,ohs,7,7,952,56,4.9349,-7.1729
ridge_sensor_demo,oks,7,7,952,56,13.8718,-277.81
tuned_ridge,sis,7,7,952,56,2.7716,-0.6345
tuned_ridge,ohs,7,7,952,56,5.243,-8.199
tuned_ridge,oks,7,7,952,56,11.7511,-207.3257
tuned_elasticnet,sis,7,7,952,56,2.7559,-0.934
tuned_elasticnet,ohs,7,7,952,56,5.9383,-6.2026
tuned_elasticnet,oks,7,7,952,56,2.034,-5.8886
rf,sis,7,7,952,56,3.4528,-1.3867
rf,ohs,7,7,952,56,7.8222,-10.7498
rf,oks,7,7,952,56,11.079,-172.3162
lgbm,sis,7,7,952,56,4.1772,-2.102
lgbm,ohs,7,7,952,56,7.7211,-10.2277
lgbm,oks,7,7,952,56,9.2265,-125.6513
baseline_demo_ridge,sis,8,8,952,56,4.6657,-2.5611
baseline_demo_ridge,ohs,8,8,952,56,3.4109,-1.0617
baseline_demo_ridge,oks,8,8,952,56,6.8422,-9.0247
baseline_naive_mean,sis,8,8,952,56,3.0294,-1.0797
baseline_naive_mean,ohs,8,8,952,56,5.4706,-3.9903
baseline_naive_mean,oks,8,8,952,56,4.2059,-3.41
ridge_sensor_demo,sis,8,8,952,56,6.5442,-5.1918
ridge_sensor_demo,ohs,8,8,952,56,2.7663,-1.111
ridge_sensor_demo,oks,8,8,952,56,3.1842,-2.6025
tuned_ridge,sis,8,8,952,56,4.7654,-2.9835
tuned_ridge,ohs,8,8,952,56,2.9313,-0.5712
tuned_ridge,oks,8,8,952,56,4.5932,-4.6212
tuned_elasticnet,sis,8,8,952,56,2.9424,-1.0186
tuned_elasticnet,ohs,8,8,952,56,4.9486,-3.2649
tuned_elasticnet,oks,8,8,952,56,3.5505,-2.4303
rf,sis,8,8,952,56,2.4749,-0.7537
rf,ohs,8,8,952,56,7.6617,-10.1369
rf,oks,8,8,952,56,4.7841,-4.2415
lgbm,sis,8,8,952,56,2.3601,-0.5428
lgbm,ohs,8,8,952,56,7.0351,-8.6641
lgbm,oks,8,8,952,56,4.1112,-3.2054
baseline_demo_ridge,sis,9,9,952,56,3.7132,-2.9414
baseline_demo_ridge,ohs,9,9,952,56,23.2187,-196.0388
baseline_demo_ridge,oks,9,9,952,56,12.236,-99.8138
baseline_naive_mean,sis,9,9,952,56,2.7426,-1.0659
baseline_naive_mean,ohs,9,9,952,56,10.2353,-38.095
baseline_naive_mean,oks,9,9,952,56,9.7647,-63.5663
ridge_sensor_demo,sis,9,9,952,56,1.7151,-0.1555
ridge_sensor_demo,ohs,9,9,952,56,17.1043,-112.3726
ridge_sensor_demo,oks,9,9,952,56,18.8641,-264.2811
tuned_ridge,sis,9,9,952,56,1.6346,0.1617
tuned_ridge,ohs,9,9,952,56,14.6249,-85.5737
tuned_ridge,oks,9,9,952,56,18.1583,-247.573
tuned_elasticnet,sis,9,9,952,56,2.6978,-0.9821
tuned_elasticnet,ohs,9,9,952,56,9.7472,-34.5472
tuned_elasticnet,oks,9,9,952,56,9.1182,-55.5261
rf,sis,9,9,952,56,4.3206,-4.3898
rf,ohs,9,9,952,56,8.0094,-24.9284
rf,oks,9,9,952,56,7.2999,-44.0912
lgbm,sis,9,9,952,56,4.3886,-4.2687
lgbm,ohs,9,9,952,56,11.6995,-50.0027
lgbm,oks,9,9,952,56,5.0779,-23.1587
baseline_demo_ridge,sis,10,10,952,56,5.3491,-22.8902
baseline_demo_ridge,ohs,10,10,952,56,12.2663,-5.144
baseline_demo_ridge,oks,10,10,952,56,4.1217,-0.4026
baseline_naive_mean,sis,10,10,952,56,4.6176,-17.0581
baseline_naive_mean,ohs,10,10,952,56,9.1765,-2.8789
baseline_naive_mean,oks,10,10,952,56,4.1765,-0.4429
ridge_sensor_demo,sis,10,10,952,56,6.3604,-36.1458
ridge_sensor_demo,ohs,10,10,952,56,15.4423,-8.6892
ridge_sensor_demo,oks,10,10,952,56,5.4003,-4.2477
tuned_ridge,sis,10,10,952,56,3.8194,-12.3068
tuned_ridge,ohs,10,10,952,56,16.396,-9.3154
tuned_ridge,oks,10,10,952,56,5.6646,-5.4729
tuned_elasticnet,sis,10,10,952,56,4.5592,-16.6739
