model,target,fold,held_out_pid,mae,r2
tuned_elasticnet,oks_delta,7,7,1.0972,-1.6157
rf,sis_delta,7,7,2.7579,-0.7508
rf,ohs_delta,7,7,4.7052,-4.1878
rf,oks_delta,7,7,0.8765,-0.602
lgbm,sis_delta,7,7,2.9386,-0.9094
lgbm,ohs_delta,7,7,4.6709,-4.1092
lgbm,oks_delta,7,7,0.951,-0.9684
baseline_naive_mean,sis_delta,8,8,2.3235,-0.6352
baseline_naive_mean,ohs_delta,8,8,2.5,-0.0042
baseline_naive_mean,oks_delta,8,8,2.8529,-1.569
tuned_ridge,sis_delta,8,8,2.0388,-0.1746
tuned_ridge,ohs_delta,8,8,3.0305,-0.8898
tuned_ridge,oks_delta,8,8,3.3998,-2.3115
tuned_elasticnet,sis_delta,8,8,2.2911,-0.6175
tuned_elasticnet,ohs_delta,8,8,2.5,-0.0097
tuned_elasticnet,oks_delta,8,8,2.9672,-1.6972
rf,sis_delta,8,8,2.4477,-0.7861
rf,ohs_delta,8,8,2.4826,0.0144
rf,oks_delta,8,8,2.38,-1.0852
lgbm,sis_delta,8,8,3.4821,-1.4999
lgbm,ohs_delta,8,8,2.3991,0.0035
lgbm,oks_delta,8,8,2.5263,-1.2329
baseline_naive_mean,sis_delta,9,9,3.6471,-2.8376
baseline_naive_mean,ohs_delta,9,9,1.5,-0.1812
baseline_naive_mean,oks_delta,9,9,1.0,-0.1476
tuned_ridge,sis_delta,9,9,5.4429,-6.5319
tuned_ridge,ohs_delta,9,9,1.3597,-0.1471
tuned_ridge,oks_delta,9,9,3.8077,-12.76
tuned_elasticnet,sis_delta,9,9,3.6154,-2.7885
tuned_elasticnet,ohs_delta,9,9,1.5,-0.2337
tuned_elasticnet,oks_delta,9,9,1.0001,-0.2178
rf,sis_delta,9,9,4.6692,-4.8711
rf,ohs_delta,9,9,3.1515,-4.893
rf,oks_delta,9,9,1.4267,-1.3481
lgbm,sis_delta,9,9,5.2308,-6.5793
lgbm,ohs_delta,9,9,2.4186,-2.1518
lgbm,oks_delta,9,9,1.3568,-0.7066
baseline_naive_mean,sis_delta,10,10,1.0,-0.0837
baseline_naive_mean,ohs_delta,10,10,4.1324,-0.1065
baseline_naive_mean,oks_delta,10,10,2.7941,-0.5359
tuned_ridge,sis_delta,10,10,2.0415,-3.299
tuned_ridge,ohs_delta,10,10,5.5872,-0.8972
tuned_ridge,oks_delta,10,10,7.776,-5.0918
tuned_elasticnet,sis_delta,10,10,1.0124,-0.1163
tuned_elasticnet,ohs_delta,10,10,4.1592,-0.1169
tuned_elasticnet,oks_delta,10,10,2.8361,-0.5812
rf,sis_delta,10,10,1.6015,-1.9542
rf,ohs_delta,10,10,4.6774,-0.3279
rf,oks_delta,10,10,2.5625,0.16
lgbm,sis_delta,10,10,1.6721,-2.6166
lgbm,ohs_delta,10,10,4.2858,-0.1554
lgbm,oks_delta,10,10,2.0474,0.4762
baseline_naive_mean,sis_delta,11,11,4.0294,-2.952
baseline_naive_mean,ohs_delta,11,11,1.5588,-0.1416
baseline_naive_mean,oks_delta,11,11,3.25,-0.5288
tuned_ridge,sis_delta,11,11,4.9158,-9.0901
tuned_ridge,ohs_delta,11,11,6.9952,-31.2066
tuned_ridge,oks_delta,11,11,5.3659,-9.9081
tuned_elasticnet,sis_delta,11,11,4.2097,-3.2224
tuned_elasticnet,ohs_delta,11,11,1.559,-0.1478
tuned_elasticnet,oks_delta,11,11,3.3347,-0.5182
rf,sis_delta,11,11,3.7693,-2.297
rf,ohs_delta,11,11,2.6671,-1.6413
rf,oks_delta,11,11,3.3403,-0.5717
lgbm,sis_delta,11,11,3.9738,-2.6492
lgbm,ohs_delta,11,11,2.0183,-0.5122
lgbm,oks_delta,11,11,2.7746,0.118
baseline_naive_mean,sis_delta,12,12,0.4706,-1.1811
baseline_naive_mean,ohs_delta,12,12,6.25,-0.5391
baseline_naive_mean,oks_delta,12,12,6.0294,-1.2672
tuned_ridge,sis_delta,12,12,2.1731,-34.0627
tuned_ridge,ohs_delta,12,12,5.818,-0.1689
tuned_ridge,oks_delta,12,12,7.9629,-2.2374
tuned_elasticnet,sis_delta,12,12,0.3506,-0.7205
tuned_elasticnet,ohs_delta,12,12,6.2584,-0.5413
tuned_elasticnet,oks_delta,12,12,6.064,-1.2913
rf,sis_delta,12,12,1.725,-16.6038
rf,ohs_delta,12,12,6.029,-0.1108
rf,oks_delta,12,12,5.132,-0.7643
lgbm,sis_delta,12,12,1.8467,-19.2498
lgbm,ohs_delta,12,12,6.0592,-0.1629
lgbm,oks_delta,12,12,4.9298,-0.5594
baseline_naive_mean,sis_delta,13,13,3.7647,-3.0236
baseline_naive_mean,ohs_delta,13,13,2.1176,-0.3391
baseline_naive_mean,oks_delta,13,13,5.4265,-1.8789
tuned_ridge,sis_delta,13,13,2.2476,-0.6732
tuned_ridge,ohs_delta,13,13,4.0694,-4.7812
tuned_ridge,oks_delta,13,13,4.5398,-0.649
tuned_elasticnet,sis_delta,13,13,4.049,-3.488
tuned_elasticnet,ohs_delta,13,13,2.1673,-0.3959
tuned_elasticnet,oks_delta,13,13,5.3915,-1.8302
rf,sis_delta,13,13,3.8571,-2.8458
rf,ohs_delta,13,13,5.8358,-9.1505
rf,oks_delta,13,13,5.2682,-1.5694
