model,target,fold,held_out_pid,n_train_rows,n_test_rows,mae,r2
baseline_demo_ridge,ohs,17,17,952,56,1.5,-0.1442
baseline_demo_ridge,oks,17,17,952,56,4.5,-0.0696
baseline_naive_mean,sis,17,17,952,56,1.5,-0.1664
baseline_naive_mean,ohs,17,17,952,56,1.7647,-1.1324
baseline_naive_mean,oks,17,17,952,56,4.5,-0.2537
baseline_demo_ridge,sis,18,18,952,56,3.7352,-8.2678
baseline_demo_ridge,ohs,18,18,952,56,3.0918,-13.9042
baseline_demo_ridge,oks,18,18,952,56,12.1988,-35.5366
baseline_naive_mean,sis,18,18,952,56,5.1765,-15.879
baseline_naive_mean,ohs,18,18,952,56,5.7353,-47.8452
baseline_naive_mean,oks,18,18,952,56,1.75,-0.0002
